Date,High,Low,Open,Close,Volume,Adj Close
2019-11-18,353.1499938964844,346.1000061035156,352.9200134277344,349.989990234375,4400400,349.989990234375
2019-11-19,359.989990234375,347.79998779296875,351.75,359.5199890136719,7724800,359.5199890136719
2019-11-20,361.20001220703125,349.57000732421875,360.0,352.2200012207031,6725100,352.2200012207031
2019-11-21,360.8399963378906,354.0,354.510009765625,354.8299865722656,6110000,354.8299865722656
2019-11-22,341.0,330.0,340.1600036621094,333.0400085449219,16870600,333.0400085449219
2019-11-25,344.57000732421875,334.4599914550781,344.32000732421875,336.3399963378906,12339500,336.3399963378906
2019-11-26,335.5,327.1000061035156,335.2699890136719,328.9200134277344,7947400,328.9200134277344
2019-11-27,333.92999267578125,328.57000732421875,331.1199951171875,331.2900085449219,5555600,331.2900085449219
2019-11-29,331.260009765625,327.5,331.1099853515625,329.94000244140625,2465600,329.94000244140625
2019-12-02,336.3800048828125,328.69000244140625,329.3999938964844,334.8699951171875,6074500,334.8699951171875
2019-12-03,337.9100036621094,332.19000244140625,332.6199951171875,336.20001220703125,6573700,336.20001220703125
2019-12-04,337.8599853515625,332.8500061035156,337.75,333.0299987792969,5533000,333.0299987792969
2019-12-05,334.4200134277344,327.25,332.8299865722656,330.3699951171875,3724600,330.3699951171875
2019-12-06,338.8599853515625,334.7699890136719,335.0,335.8900146484375,7612400,335.8900146484375
2019-12-09,344.45001220703125,335.0799865722656,336.5899963378906,339.5299987792969,9023100,339.5299987792969
2019-12-10,350.7300109863281,339.30999755859375,339.9599914550781,348.8399963378906,8828300,348.8399963378906
2019-12-11,357.19000244140625,351.0899963378906,351.8800048828125,352.70001220703125,6897800,352.70001220703125
2019-12-12,362.739990234375,353.2300109863281,354.9200134277344,359.67999267578125,7763900,359.67999267578125
2019-12-13,365.2099914550781,354.6400146484375,361.04998779296875,358.3900146484375,6570900,358.3900146484375
2019-12-16,383.6099853515625,362.54998779296875,362.54998779296875,381.5,17709425,381.5
